Episode: 0, Total numsteps: 26, Episode steps: 26, Reward: -98.87, Cost: 0

Episode: 1, Total numsteps: 38, Episode steps: 12, Reward: -98.3, Cost: 0

Episode: 2, Total numsteps: 52, Episode steps: 14, Reward: -98.37, Cost: 0

Episode: 3, Total numsteps: 65, Episode steps: 13, Reward: -98.84, Cost: 0

Episode: 4, Total numsteps: 76, Episode steps: 11, Reward: -99.86, Cost: 0

Episode: 5, Total numsteps: 111, Episode steps: 35, Reward: -98.36, Cost: 0

Episode: 6, Total numsteps: 126, Episode steps: 15, Reward: -99.46, Cost: 0

Episode: 7, Total numsteps: 133, Episode steps: 7, Reward: -98.56, Cost: 0

Episode: 8, Total numsteps: 141, Episode steps: 8, Reward: -99.6, Cost: 0

Episode: 9, Total numsteps: 153, Episode steps: 12, Reward: -99.86, Cost: 0

Episode: 10, Total numsteps: 168, Episode steps: 15, Reward: -99.66, Cost: 0

Episode: 11, Total numsteps: 178, Episode steps: 10, Reward: -98.68, Cost: 0

Episode: 12, Total numsteps: 187, Episode steps: 9, Reward: -99.18, Cost: 0

Episode: 13, Total numsteps: 207, Episode steps: 20, Reward: -99.7, Cost: 0

Episode: 14, Total numsteps: 217, Episode steps: 10, Reward: -98.27, Cost: 0

Episode: 15, Total numsteps: 225, Episode steps: 8, Reward: -99.67, Cost: 0

Episode: 16, Total numsteps: 235, Episode steps: 10, Reward: -99.22, Cost: 0

Episode: 17, Total numsteps: 255, Episode steps: 20, Reward: -99.63, Cost: 0

Episode: 18, Total numsteps: 271, Episode steps: 16, Reward: -99.71, Cost: 0

Episode: 19, Total numsteps: 283, Episode steps: 12, Reward: -98.88, Cost: 0

Episode: 20, Total numsteps: 304, Episode steps: 21, Reward: -99.18, Cost: 0

Episode: 21, Total numsteps: 342, Episode steps: 38, Reward: -99.01, Cost: 0

Episode: 22, Total numsteps: 355, Episode steps: 13, Reward: -99.63, Cost: 0

Episode: 23, Total numsteps: 367, Episode steps: 12, Reward: -99.31, Cost: 0

Episode: 24, Total numsteps: 373, Episode steps: 6, Reward: -99.1, Cost: 0

Episode: 25, Total numsteps: 383, Episode steps: 10, Reward: -99.71, Cost: 0

Episode: 26, Total numsteps: 397, Episode steps: 14, Reward: -99.07, Cost: 0

Episode: 27, Total numsteps: 406, Episode steps: 9, Reward: -98.93, Cost: 0

Episode: 28, Total numsteps: 414, Episode steps: 8, Reward: -99.92, Cost: 0

Episode: 29, Total numsteps: 422, Episode steps: 8, Reward: -97.76, Cost: 0

Episode: 30, Total numsteps: 440, Episode steps: 18, Reward: -99.39, Cost: 0

Episode: 31, Total numsteps: 447, Episode steps: 7, Reward: -99.61, Cost: 0

Episode: 32, Total numsteps: 462, Episode steps: 15, Reward: -99.25, Cost: 0

Episode: 33, Total numsteps: 479, Episode steps: 17, Reward: -99.45, Cost: 0

Episode: 34, Total numsteps: 490, Episode steps: 11, Reward: -99.73, Cost: 0

Episode: 35, Total numsteps: 511, Episode steps: 21, Reward: -99.1, Cost: 0

Episode: 36, Total numsteps: 532, Episode steps: 21, Reward: -99.51, Cost: 0

Episode: 37, Total numsteps: 544, Episode steps: 12, Reward: -99.56, Cost: 0

Episode: 38, Total numsteps: 565, Episode steps: 21, Reward: -99.13, Cost: 0

