Episode: 0, Total numsteps: 49, Episode steps: 49, Reward: -98.87, Cost: 0, Running Time: 1.4522

Episode: 1, Total numsteps: 68, Episode steps: 19, Reward: -97.66, Cost: 0, Running Time: 0.3715

Episode: 2, Total numsteps: 85, Episode steps: 17, Reward: -99.72, Cost: 0, Running Time: 0.4466

Episode: 3, Total numsteps: 99, Episode steps: 14, Reward: -99.73, Cost: 0, Running Time: 0.3142

Episode: 4, Total numsteps: 106, Episode steps: 7, Reward: -99.16, Cost: 0, Running Time: 0.1676

Episode: 5, Total numsteps: 124, Episode steps: 18, Reward: -98.49, Cost: 0, Running Time: 0.4137

Episode: 6, Total numsteps: 132, Episode steps: 8, Reward: -99.2, Cost: 0, Running Time: 0.1792

Episode: 7, Total numsteps: 143, Episode steps: 11, Reward: -99.45, Cost: 0, Running Time: 0.2468

Episode: 8, Total numsteps: 156, Episode steps: 13, Reward: -98.89, Cost: 0, Running Time: 0.3037

Episode: 9, Total numsteps: 166, Episode steps: 10, Reward: -99.76, Cost: 0, Running Time: 0.2262

Episode: 10, Total numsteps: 187, Episode steps: 21, Reward: -98.92, Cost: 0, Running Time: 0.4992

Episode: 11, Total numsteps: 210, Episode steps: 23, Reward: -99.72, Cost: 0, Running Time: 0.5589

Episode: 12, Total numsteps: 221, Episode steps: 11, Reward: -98.92, Cost: 0, Running Time: 0.2535

Episode: 13, Total numsteps: 230, Episode steps: 9, Reward: -99.27, Cost: 0, Running Time: 0.2109

Episode: 14, Total numsteps: 259, Episode steps: 29, Reward: -99.89, Cost: 0, Running Time: 0.7361

Episode: 15, Total numsteps: 279, Episode steps: 20, Reward: -98.6, Cost: 0, Running Time: 0.4776

Episode: 16, Total numsteps: 289, Episode steps: 10, Reward: -99.75, Cost: 0, Running Time: 0.2305

Episode: 17, Total numsteps: 305, Episode steps: 16, Reward: -99.74, Cost: 0, Running Time: 0.3651

Episode: 18, Total numsteps: 321, Episode steps: 16, Reward: -99.62, Cost: 0, Running Time: 0.4

Episode: 19, Total numsteps: 337, Episode steps: 16, Reward: -99.29, Cost: 0, Running Time: 0.3816

Episode: 20, Total numsteps: 368, Episode steps: 31, Reward: -99.0, Cost: 0, Running Time: 0.8127

Episode: 21, Total numsteps: 377, Episode steps: 9, Reward: -98.77, Cost: 0, Running Time: 0.2103

Episode: 22, Total numsteps: 386, Episode steps: 9, Reward: -98.44, Cost: 0, Running Time: 0.2023

Episode: 23, Total numsteps: 436, Episode steps: 50, Reward: -99.65, Cost: 0, Running Time: 1.2606

Episode: 24, Total numsteps: 446, Episode steps: 10, Reward: -98.92, Cost: 0, Running Time: 0.2397

Episode: 25, Total numsteps: 465, Episode steps: 19, Reward: -98.91, Cost: 0, Running Time: 0.4653

Episode: 26, Total numsteps: 476, Episode steps: 11, Reward: -97.84, Cost: 0, Running Time: 0.2625

Episode: 27, Total numsteps: 488, Episode steps: 12, Reward: -99.25, Cost: 0, Running Time: 0.2719

Episode: 28, Total numsteps: 494, Episode steps: 6, Reward: -99.61, Cost: 0, Running Time: 0.1412

Episode: 29, Total numsteps: 503, Episode steps: 9, Reward: -99.2, Cost: 0, Running Time: 0.2156

Episode: 30, Total numsteps: 512, Episode steps: 9, Reward: -97.87, Cost: 0, Running Time: 0.2165

Episode: 31, Total numsteps: 535, Episode steps: 23, Reward: -98.22, Cost: 0, Running Time: 0.5572

Episode: 32, Total numsteps: 551, Episode steps: 16, Reward: -99.46, Cost: 0, Running Time: 0.362

Episode: 33, Total numsteps: 564, Episode steps: 13, Reward: -99.82, Cost: 0, Running Time: 0.2995

Episode: 34, Total numsteps: 572, Episode steps: 8, Reward: -98.72, Cost: 0, Running Time: 0.1857

Episode: 35, Total numsteps: 578, Episode steps: 6, Reward: -99.51, Cost: 0, Running Time: 0.142

Episode: 36, Total numsteps: 629, Episode steps: 51, Reward: -97.86, Cost: 0, Running Time: 2.5526

Episode: 37, Total numsteps: 637, Episode steps: 8, Reward: -98.96, Cost: 0, Running Time: 0.1889

Episode: 38, Total numsteps: 667, Episode steps: 30, Reward: -98.58, Cost: 0, Running Time: 0.7465

Episode: 39, Total numsteps: 698, Episode steps: 31, Reward: -99.47, Cost: 0, Running Time: 0.7539

Episode: 40, Total numsteps: 725, Episode steps: 27, Reward: -99.51, Cost: 0, Running Time: 0.6485

Episode: 41, Total numsteps: 754, Episode steps: 29, Reward: -99.83, Cost: 0, Running Time: 0.7147

Episode: 42, Total numsteps: 765, Episode steps: 11, Reward: -99.72, Cost: 0, Running Time: 0.2426

Episode: 43, Total numsteps: 774, Episode steps: 9, Reward: -99.03, Cost: 0, Running Time: 0.217

Episode: 44, Total numsteps: 784, Episode steps: 10, Reward: -99.39, Cost: 0, Running Time: 0.2256

Episode: 45, Total numsteps: 795, Episode steps: 11, Reward: -98.53, Cost: 0, Running Time: 0.2458

Episode: 46, Total numsteps: 802, Episode steps: 7, Reward: -99.12, Cost: 0, Running Time: 0.1791

Episode: 47, Total numsteps: 809, Episode steps: 7, Reward: -99.49, Cost: 0, Running Time: 0.1715

Episode: 48, Total numsteps: 824, Episode steps: 15, Reward: -99.0, Cost: 0, Running Time: 0.3464

Episode: 49, Total numsteps: 840, Episode steps: 16, Reward: -98.11, Cost: 0, Running Time: 0.3597

Episode: 50, Total numsteps: 848, Episode steps: 8, Reward: -98.33, Cost: 0, Running Time: 0.19

Episode: 51, Total numsteps: 861, Episode steps: 13, Reward: -99.39, Cost: 0, Running Time: 0.2932

Episode: 52, Total numsteps: 871, Episode steps: 10, Reward: -99.63, Cost: 0, Running Time: 0.2196

Episode: 53, Total numsteps: 882, Episode steps: 11, Reward: -99.17, Cost: 0, Running Time: 0.2472

Episode: 54, Total numsteps: 902, Episode steps: 20, Reward: -99.61, Cost: 0, Running Time: 0.4863

Episode: 55, Total numsteps: 926, Episode steps: 24, Reward: -98.48, Cost: 0, Running Time: 0.6146

Episode: 56, Total numsteps: 937, Episode steps: 11, Reward: -99.77, Cost: 0, Running Time: 0.2563

Episode: 57, Total numsteps: 948, Episode steps: 11, Reward: -99.35, Cost: 0, Running Time: 0.2917

Episode: 58, Total numsteps: 967, Episode steps: 19, Reward: -99.47, Cost: 0, Running Time: 0.4768

Episode: 59, Total numsteps: 1003, Episode steps: 36, Reward: -98.85, Cost: 0, Running Time: 0.9324

Episode: 60, Total numsteps: 1028, Episode steps: 25, Reward: -98.09, Cost: 0, Running Time: 0.6248

Episode: 61, Total numsteps: 1038, Episode steps: 10, Reward: -97.35, Cost: 0, Running Time: 0.2467

Episode: 62, Total numsteps: 1048, Episode steps: 10, Reward: -98.61, Cost: 0, Running Time: 0.241

Episode: 63, Total numsteps: 1058, Episode steps: 10, Reward: -99.55, Cost: 0, Running Time: 0.2335

Episode: 64, Total numsteps: 1077, Episode steps: 19, Reward: -99.15, Cost: 0, Running Time: 0.4776

Episode: 65, Total numsteps: 1086, Episode steps: 9, Reward: -99.78, Cost: 0, Running Time: 0.2098

Episode: 66, Total numsteps: 1117, Episode steps: 31, Reward: -99.8, Cost: 0, Running Time: 0.7927

Episode: 67, Total numsteps: 1131, Episode steps: 14, Reward: -99.65, Cost: 0, Running Time: 0.3256

Episode: 68, Total numsteps: 1144, Episode steps: 13, Reward: -99.8, Cost: 0, Running Time: 0.2934

Episode: 69, Total numsteps: 1171, Episode steps: 27, Reward: -98.91, Cost: 0, Running Time: 0.6735

Episode: 70, Total numsteps: 1180, Episode steps: 9, Reward: -98.97, Cost: 0, Running Time: 0.2141

Episode: 71, Total numsteps: 1190, Episode steps: 10, Reward: -99.54, Cost: 0, Running Time: 0.2254

Episode: 72, Total numsteps: 1225, Episode steps: 35, Reward: -98.95, Cost: 0, Running Time: 0.8566

Episode: 73, Total numsteps: 1238, Episode steps: 13, Reward: -97.91, Cost: 0, Running Time: 0.2938

Episode: 74, Total numsteps: 1248, Episode steps: 10, Reward: -98.95, Cost: 0, Running Time: 1.8445

Episode: 75, Total numsteps: 1257, Episode steps: 9, Reward: -98.53, Cost: 0, Running Time: 0.2083

Episode: 76, Total numsteps: 1265, Episode steps: 8, Reward: -99.23, Cost: 0, Running Time: 0.1959

Episode: 77, Total numsteps: 1281, Episode steps: 16, Reward: -99.67, Cost: 0, Running Time: 0.3416

Episode: 78, Total numsteps: 1300, Episode steps: 19, Reward: -99.35, Cost: 0, Running Time: 0.4441

Episode: 79, Total numsteps: 1319, Episode steps: 19, Reward: -99.4, Cost: 0, Running Time: 0.435

