Episode: 0, Total numsteps: 22, Episode steps: 22, Reward: -99.33, Cost: 0, Running Time: 0.6816, Violation: 1

Episode: 1, Total numsteps: 40, Episode steps: 18, Reward: -99.33, Cost: 0, Running Time: 0.3927, Violation: 1

Episode: 2, Total numsteps: 48, Episode steps: 8, Reward: -99.73, Cost: 0, Running Time: 0.1718, Violation: 1

Episode: 3, Total numsteps: 55, Episode steps: 7, Reward: -99.97, Cost: 0, Running Time: 0.1624, Violation: 1

Episode: 4, Total numsteps: 60, Episode steps: 5, Reward: -99.43, Cost: 0, Running Time: 0.1228, Violation: 1

Episode: 5, Total numsteps: 72, Episode steps: 12, Reward: -99.54, Cost: 0, Running Time: 0.2624, Violation: 1

Episode: 6, Total numsteps: 97, Episode steps: 25, Reward: -99.18, Cost: 0, Running Time: 0.5716, Violation: 2

Episode: 7, Total numsteps: 105, Episode steps: 8, Reward: -99.77, Cost: 0, Running Time: 0.1749, Violation: 2

Episode: 8, Total numsteps: 117, Episode steps: 12, Reward: -99.05, Cost: 0, Running Time: 0.2596, Violation: 2

Episode: 9, Total numsteps: 132, Episode steps: 15, Reward: -100.0, Cost: 0, Running Time: 0.34, Violation: 2

Episode: 10, Total numsteps: 142, Episode steps: 10, Reward: -99.93, Cost: 0, Running Time: 0.2127, Violation: 2

Episode: 11, Total numsteps: 153, Episode steps: 11, Reward: -100.0, Cost: 0, Running Time: 0.2413, Violation: 2

Episode: 12, Total numsteps: 169, Episode steps: 16, Reward: -99.99, Cost: 0, Running Time: 0.377, Violation: 2

Episode: 13, Total numsteps: 182, Episode steps: 13, Reward: -99.39, Cost: 0, Running Time: 0.279, Violation: 2

Episode: 14, Total numsteps: 199, Episode steps: 17, Reward: -99.41, Cost: 0, Running Time: 0.3925, Violation: 2

Episode: 15, Total numsteps: 206, Episode steps: 7, Reward: -99.7, Cost: 0, Running Time: 0.1563, Violation: 2

Episode: 16, Total numsteps: 213, Episode steps: 7, Reward: -99.13, Cost: 0, Running Time: 0.1554, Violation: 2

Episode: 17, Total numsteps: 219, Episode steps: 6, Reward: -100.0, Cost: 0, Running Time: 0.1345, Violation: 2

Episode: 18, Total numsteps: 225, Episode steps: 6, Reward: -99.34, Cost: 0, Running Time: 0.1303, Violation: 2

Episode: 19, Total numsteps: 231, Episode steps: 6, Reward: -99.92, Cost: 0, Running Time: 0.1295, Violation: 2

Episode: 20, Total numsteps: 242, Episode steps: 11, Reward: -99.46, Cost: 0, Running Time: 0.2297, Violation: 2

Episode: 21, Total numsteps: 248, Episode steps: 6, Reward: -99.86, Cost: 0, Running Time: 0.1369, Violation: 2

Episode: 22, Total numsteps: 258, Episode steps: 10, Reward: -99.91, Cost: 0, Running Time: 0.2133, Violation: 2

